id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
606073,Sycamore Canyon Elementary School,public,"KG,1,2,3,4,5,6",e,Santee,CA,92071,Santee School District,32.863548,-117.00518,6,2020,2.87399145
606167,Jerabek Elementary School,public,"KG,1,2,3,4,5",e,San Diego,CA,92131,San Diego Unified School District,32.907898,-117.084,9,2020,3.137747772
612041,Scripps Elementary School,public,"KG,1,2,3,4,5",e,San Diego,CA,92131,San Diego Unified School District,32.930462,-117.082214,9,2020,3.680694943
605932,West Hills High School,public,"9,10,11,12",h,Santee,CA,92071,Grossmont Union High School District,32.847618,-117.013939,7,2020,3.689708203
606052,Valley Elementary School,public,"KG,1,2,3,4,5",e,Poway,CA,92064,Poway Unified School District,32.953873,-117.046677,4,2020,3.894622143
606204,Miramar Ranch Elementary School,public,"KG,1,2,3,4,5",e,San Diego,CA,92131,San Diego Unified School District,32.909454,-117.098251,9,2020,3.969933637
606066,Carlton Oaks Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Santee,CA,92071,Santee School District,32.843002,-117.01387,6,2020,3.99893621
606195,Marshall Middle School,public,"6,7,8",m,San Diego,CA,92131,San Diego Unified School District,32.896111,-117.100945,8,2020,4.066367579
606065,Carlton Hills Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Santee,CA,92071,Santee School District,32.848186,-116.995499,7,2020,4.073443337
611836,Creekside Elementary School,public,"KG,1,2,3,4,5",e,San Diego,CA,92128,Poway Unified School District,32.944256,-117.07637,9,2020,4.085006897
606032,Garden Road Elementary School,public,"KG,1,2,3,4,5",e,Poway,CA,92064,Poway Unified School District,32.956577,-117.012032,8,2020,4.121579654
606064,Cajon Park Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Santee,CA,92071,Santee School District,32.86581,-116.971886,6,2020,4.126038003
606132,Dingeman Elementary School,public,"KG,1,2,3,4,5",e,San Diego,CA,92131,San Diego Unified School District,32.933693,-117.090897,9,2020,4.220713709
